order_id,product_id,reordered
1,140,0
1,100,0
1,63,0
2,107,0
2,50,0
2,67,0
3,88,0
3,41,0
3,2,0
3,108,0
4,138,0
4,108,1
4,12,0
4,14,0
4,50,0
5,100,1
5,107,1
5,14,0
5,21,0
5,53,0
5,26,0
5,93,0
5,94,0
6,107,0
6,50,1
6,19,0
6,44,0
7,67,0
7,103,0
7,14,1
7,15,0
7,143,0
8,138,1
8,108,0
8,110,0
8,14,1
8,53,0
9,100,1
9,36,0
9,138,1
9,107,1
9,109,0
9,50,1
9,29,0
10,67,0
10,138,1
10,50,1
10,53,1
10,88,0
10,30,0
11,100,0
11,108,1
11,77,0
11,46,0
12,67,1
12,137,0
12,138,1
12,107,1
12,14,0
12,79,0
12,53,1
12,21,1
13,50,1
13,43,0
13,139,0
13,53,1
14,3,0
14,75,0
14,141,0
14,49,0
14,19,0
14,55,0
14,89,0
14,31,0
15,26,0
15,3,1
15,126,0
16,89,1
16,75,1
16,28,0
17,3,1
17,68,0
17,43,0
17,141,1
17,61,0
17,126,1
17,31,1
18,16,0
18,31,0
18,149,0
18,15,0
19,3,1
19,68,1
19,136,0
19,75,1
19,108,0
19,145,0
19,18,0
20,68,1
20,75,1
20,11,0
20,141,1
20,18,0
20,89,1
20,126,0
21,136,0
21,27,0
21,11,1
21,141,1
22,40,0
22,75,1
22,68,1
22,53,0
23,68,1
23,11,1
23,12,0
23,141,1
23,14,0
23,89,0
23,126,0
23,31,1
24,3,1
24,40,0
24,141,1
24,54,0
24,27,1
24,61,1
24,126,0
25,89,0
25,106,0
25,46,0
25,7,0
26,64,0
26,3,1
26,68,1
26,72,0
26,75,1
26,141,1
26,57,0
26,31,1
27,3,1
27,103,0
27,138,0
27,141,1
27,126,1
28,68,1
28,75,1
28,81,0
28,85,0
28,126,1
29,68,1
29,75,1
29,77,0
29,141,1
29,45,0
29,78,0
29,126,1
30,98,0
30,131,0
30,73,0
30,78,0
30,83,0
30,118,0
30,88,0
31,128,0
31,99,0
31,132,0
31,38,0
31,19,0
31,86,0
31,58,0
32,88,1
32,57,0
32,132,1
33,88,1
33,130,0
33,144,0
34,98,1
34,132,1
34,134,0
34,71,0
34,141,0
34,122,0
35,34,0
35,98,1
35,132,1
35,71,1
35,73,1
35,106,0
36,128,1
36,100,0
36,132,1
36,6,0
36,148,0
36,150,0
36,118,1
36,88,1
37,128,1
37,132,1
37,73,1
37,108,0
37,118,1
38,128,1
38,137,0
38,73,1
38,118,1
38,120,0
38,88,1
39,128,1
39,34,0
39,11,0
39,118,1
39,88,1
39,90,0
40,40,0
40,88,1
40,52,0
41,132,1
41,73,1
41,42,0
41,43,0
41,118,1
41,28,0
41,30,0
41,31,0
42,73,1
42,106,0
42,138,0
42,112,0
42,118,1
42,89,0
42,28,0
43,132,1
43,73,1
43,47,0
43,118,1
43,23,0
43,88,1
44,128,1
44,132,1
44,73,1
44,106,1
44,118,1
44,126,0
45,98,1
45,132,1
45,73,1
45,106,1
45,50,0
45,88,1
46,128,1
46,98,1
46,106,1
46,88,1
46,126,1
47,128,1
47,65,0
47,34,1
47,123,0
48,73,1
48,58,1
48,132,1
48,118,1
49,128,1
49,68,0
49,41,0
49,54,0
49,118,1
49,88,1
49,26,0
50,88,1
50,34,1
50,132,1
50,118,0
51,132,1
51,69,0
51,19,0
51,51,0
51,117,0
52,113,0
52,146,0
52,108,0
52,70,0
53,65,0
53,69,0
53,7,0
53,105,0
53,47,0
53,83,0
53,31,0
54,68,0
54,141,0
54,78,0
54,113,1
54,85,0
54,121,0
54,31,0
55,104,0
55,68,1
55,78,1
56,128,0
56,65,1
56,1,0
56,105,1
56,139,0
56,78,1
56,14,0
57,68,1
57,11,0
57,80,0
57,113,1
57,31,1
58,71,0
58,40,0
58,105,1
58,108,0
58,31,1
58,63,0
59,73,0
59,108,1
59,78,1
59,115,0
59,149,0
59,126,0
60,106,0
60,11,0
60,78,1
60,113,1
60,62,0
61,105,0
61,98,0
61,31,1
62,33,0
62,105,1
62,108,1
62,78,1
62,113,1
62,31,1
63,137,0
63,10,0
63,74,0
63,61,0
63,21,0
63,150,0
63,125,0
64,112,0
64,16,0
64,26,0
64,12,0
65,98,0
65,99,0
65,137,1
65,76,0
65,119,0
66,128,0
66,97,0
66,37,0
66,140,0
66,16,0
66,120,0
66,59,0
67,109,0
67,77,0
67,51,0
67,117,0
67,124,0
68,16,1
68,150,1
68,119,1
69,128,0
69,97,1
69,74,1
69,91,0
69,59,1
70,65,0
70,11,0
70,36,0
70,59,1
71,16,1
71,137,1
71,119,0
72,16,1
72,66,0
72,124,1
72,150,0
73,37,0
73,102,0
73,87,0
73,120,1
73,58,0
74,99,1
74,106,0
74,78,0
74,16,1
74,150,1
74,119,1
74,57,0
75,97,0
75,35,0
75,137,1
75,106,1
75,139,0
75,150,1
75,26,0
75,59,1
76,99,1
76,72,0
76,16,1
76,150,0
76,59,1
76,93,0
77,1,0
77,6,0
77,137,1
77,106,1
77,53,0
77,150,1
78,97,1
78,38,0
78,137,1
78,139,1
78,150,1
79,97,1
79,99,1
79,150,0
79,119,1
80,97,1
80,99,1
80,134,0
80,110,0
80,114,0
80,59,1
80,126,0
81,99,1
81,16,1
81,17,0
81,150,1
81,119,1
82,96,0
82,99,1
82,106,1
82,142,0
82,150,0
82,56,0
82,122,0
82,59,1
83,24,0
83,53,0
83,143,0
84,106,0
84,27,0
84,53,1
85,27,1
85,41,0
85,143,0
85,116,0
85,85,0
85,53,0
85,91,0
85,31,0
86,80,0
86,85,1
86,69,0
87,98,0
87,44,0
87,145,0
87,18,0
87,116,0
88,98,0
88,70,0
88,146,0
88,85,1
88,53,0
88,27,1
89,41,1
89,107,0
89,15,0
89,85,1
89,27,1
89,31,1
90,41,1
90,66,0
90,116,1
91,27,1
91,116,1
91,53,1
92,81,0
92,98,1
92,31,1
93,41,1
93,107,1
93,53,1
93,87,0
93,27,1
93,93,0
93,31,1
94,116,0
94,41,1
94,90,0
94,44,1
95,38,0
95,6,0
95,107,0
95,145,0
95,81,0
95,83,0
95,20,0
95,52,0
96,96,0
96,130,0
96,38,0
96,107,1
96,11,0
97,96,0
97,6,0
97,135,0
97,11,0
97,52,1
97,22,0
98,52,1
98,6,0
98,135,1
99,38,1
99,11,1
99,107,1
99,14,0
99,86,0
100,101,0
100,6,1
100,38,1
100,73,0
100,80,0
100,146,0
100,85,0
101,96,0
101,146,0
101,6,0
101,135,1
102,26,0
102,107,1
102,52,1
102,6,1
103,34,0
103,6,1
103,135,1
103,73,1
103,11,1
103,12,0
103,115,0
104,121,0
104,50,0
104,107,0
104,52,1
105,96,1
105,98,0
105,36,0
105,14,1
105,146,1
105,52,1
106,133,0
106,6,0
106,73,1
106,107,1
106,24,0
106,57,0
106,90,0
107,96,1
